period,Week,interest,,period,Week,cream tea delivery: (United Kingdom)
1,26/05/2019,0,,1,24/05/2015,0
2,02/06/2019,2,,2,31/05/2015,0
3,09/06/2019,0,,3,07/06/2015,3
4,16/06/2019,0,,4,14/06/2015,0
5,23/06/2019,0,,5,21/06/2015,0
6,30/06/2019,0,,6,28/06/2015,0
7,07/07/2019,3,,7,05/07/2015,0
8,14/07/2019,0,,8,12/07/2015,3
9,21/07/2019,0,,9,19/07/2015,3
10,28/07/2019,3,,10,26/07/2015,0
11,04/08/2019,0,,11,02/08/2015,0
12,11/08/2019,0,,12,09/08/2015,3
13,18/08/2019,3,,13,16/08/2015,0
14,25/08/2019,5,,14,23/08/2015,0
15,01/09/2019,0,,15,30/08/2015,3
16,08/09/2019,2,,16,06/09/2015,0
17,15/09/2019,2,,17,13/09/2015,0
18,22/09/2019,0,,18,20/09/2015,0
19,29/09/2019,0,,19,27/09/2015,0
20,06/10/2019,0,,20,04/10/2015,3
21,13/10/2019,2,,21,11/10/2015,3
22,20/10/2019,0,,22,18/10/2015,0
23,27/10/2019,0,,23,25/10/2015,0
24,03/11/2019,2,,24,01/11/2015,0
25,10/11/2019,2,,25,08/11/2015,0
26,17/11/2019,2,,26,15/11/2015,0
27,24/11/2019,2,,27,22/11/2015,0
28,01/12/2019,0,,28,29/11/2015,0
29,08/12/2019,0,,29,06/12/2015,3
30,15/12/2019,2,,30,13/12/2015,0
31,22/12/2019,0,,31,20/12/2015,0
32,29/12/2019,2,,32,27/12/2015,0
33,05/01/2020,2,,33,03/01/2016,0
34,12/01/2020,0,,34,10/01/2016,0
35,19/01/2020,0,,35,17/01/2016,0
36,26/01/2020,0,,36,24/01/2016,3
37,02/02/2020,0,,37,31/01/2016,0
38,09/02/2020,0,,38,07/02/2016,0
39,16/02/2020,2,,39,14/02/2016,3
40,23/02/2020,2,,40,21/02/2016,0
41,01/03/2020,3,,41,28/02/2016,3
42,08/03/2020,2,,42,06/03/2016,3
43,15/03/2020,4,,43,13/03/2016,0
44,22/03/2020,4,,44,20/03/2016,0
45,29/03/2020,11,,45,27/03/2016,0
46,05/04/2020,10,,46,03/04/2016,0
47,12/04/2020,19,,47,10/04/2016,0
48,19/04/2020,33,,48,17/04/2016,0
49,26/04/2020,45,,49,24/04/2016,0
50,03/05/2020,100,,50,01/05/2016,5
51,10/05/2020,62,,51,08/05/2016,0
52,17/05/2020,76,,52,15/05/2016,3
,,,,53,22/05/2016,0
,,,,54,29/05/2016,0
,,,,55,05/06/2016,3
,,,,56,12/06/2016,0
,,,,57,19/06/2016,0
,,,,58,26/06/2016,0
,,,,59,03/07/2016,3
,,,,60,10/07/2016,3
,,,,61,17/07/2016,0
,,,,62,24/07/2016,3
,,,,63,31/07/2016,0
,,,,64,07/08/2016,4
,,,,65,14/08/2016,0
,,,,66,21/08/2016,0
,,,,67,28/08/2016,0
,,,,68,04/09/2016,0
,,,,69,11/09/2016,0
,,,,70,18/09/2016,0
,,,,71,25/09/2016,0
,,,,72,02/10/2016,3
,,,,73,09/10/2016,0
,,,,74,16/10/2016,0
,,,,75,23/10/2016,3
,,,,76,30/10/2016,0
,,,,77,06/11/2016,0
,,,,78,13/11/2016,0
,,,,79,20/11/2016,0
,,,,80,27/11/2016,0
,,,,81,04/12/2016,3
,,,,82,11/12/2016,0
,,,,83,18/12/2016,4
,,,,84,25/12/2016,0
,,,,85,01/01/2017,0
,,,,86,08/01/2017,0
,,,,87,15/01/2017,0
,,,,88,22/01/2017,3
,,,,89,29/01/2017,0
,,,,90,05/02/2017,0
,,,,91,12/02/2017,0
,,,,92,19/02/2017,0
,,,,93,26/02/2017,0
